intdate,ri,cpi,gdp,inf,unp,dji_open,dji_open_lag30,dji_open_lag90,dji_open_lag365,dji_close,dji_close_lag30,dji_close_lag90,dji_close_lag365,dji_high,dji_high_lag30,dji_high_lag90,dji_high_lag365,dji_low,dji_low_lag30,dji_low_lag90,dji_low_lag365
19740606,t,20.67362257,,11.0548048,,845.35000000,-12.98000000,7.66000000,154.65000000,845.35000000,-12.98000000,7.66000000,154.65000000,845.35000000,-12.98000000,7.66000000,154.65000000,845.35000000,-12.98000000,7.66000000,154.65000000
19740607,t,20.67362257,,11.0548048,,853.72000000,-26.04000000,-1.40000000,150.49000000,853.72000000,-26.04000000,-1.40000000,150.49000000,853.72000000,-26.04000000,-1.40000000,150.49000000,853.72000000,-26.04000000,-1.40000000,150.49000000
19740610,t,20.67362257,,11.0548048,,859.67000000,-25.03000000,2.65000000,147.03000000,859.67000000,-25.03000000,2.65000000,147.03000000,859.67000000,-25.03000000,2.65000000,147.03000000,859.67000000,-25.03000000,2.65000000,147.03000000
19740611,t,20.67362257,,11.0548048,,852.08000000,-16.66000000,3.47000000,155.60000000,852.08000000,-16.66000000,3.47000000,155.60000000,852.08000000,-16.66000000,3.47000000,155.60000000,852.08000000,-16.66000000,3.47000000,155.60000000
19740612,t,20.67362257,,11.0548048,,848.56000000,-11.81000000,-4.62000000,171.46000000,848.56000000,-11.81000000,-4.62000000,171.46000000,848.56000000,-11.81000000,-4.62000000,171.46000000,848.56000000,-11.81000000,-4.62000000,171.46000000
19740613,t,20.67362257,,11.0548048,,852.08000000,1.80000000,-30.58000000,179.60000000,852.08000000,1.80000000,-30.58000000,179.60000000,852.08000000,1.80000000,-30.58000000,179.60000000,852.08000000,1.80000000,-30.58000000,179.60000000
19740614,t,20.67362257,,11.0548048,,843.09000000,7.97000000,-22.45000000,200.71000000,843.09000000,7.97000000,-22.45000000,200.71000000,843.09000000,7.97000000,-22.45000000,200.71000000,843.09000000,7.97000000,-22.45000000,200.71000000
19740617,t,20.67362257,,11.0548048,,833.23000000,12.67000000,-8.61000000,206.58000000,833.23000000,12.67000000,-8.61000000,206.58000000,833.23000000,12.67000000,-8.61000000,206.58000000,833.23000000,12.67000000,-8.61000000,206.58000000
19740618,t,20.67362257,,11.0548048,,830.26000000,14.62000000,-1.80000000,217.23000000,830.26000000,14.62000000,-1.80000000,217.23000000,830.26000000,14.62000000,-1.80000000,217.23000000,830.26000000,14.62000000,-1.80000000,217.23000000
19740619,t,20.67362257,,11.0548048,,826.11000000,21.04000000,-5.71000000,221.75000000,826.11000000,21.04000000,-5.71000000,221.75000000,826.11000000,21.04000000,-5.71000000,221.75000000,826.11000000,21.04000000,-5.71000000,221.75000000
19740620,t,20.67362257,,11.0548048,,820.79000000,30.20000000,-16.89000000,226.32000000,820.79000000,30.20000000,-16.89000000,226.32000000,820.79000000,30.20000000,-16.89000000,226.32000000,820.79000000,30.20000000,-16.89000000,226.32000000
19740621,t,20.67362257,,11.0548048,,815.39000000,50.38000000,-8.76000000,230.67000000,815.39000000,50.38000000,-8.76000000,230.67000000,815.39000000,50.38000000,-8.76000000,230.67000000,815.39000000,50.38000000,-8.76000000,230.67000000
19740624,t,20.67362257,,11.0548048,,816.33000000,34.11000000,-9.46000000,235.37000000,816.33000000,34.11000000,-9.46000000,235.37000000,816.33000000,34.11000000,-9.46000000,235.37000000,816.33000000,34.11000000,-9.46000000,235.37000000
19740625,t,20.67362257,,11.0548048,,828.85000000,16.74000000,-18.93000000,210.51000000,828.85000000,16.74000000,-18.93000000,210.51000000,828.85000000,16.74000000,-18.93000000,210.51000000,828.85000000,16.74000000,-18.93000000,210.51000000
19740626,t,20.67362257,,11.0548048,,816.96000000,30.90000000,3.36000000,208.63000000,816.96000000,30.90000000,3.36000000,208.63000000,816.96000000,30.90000000,3.36000000,208.63000000,816.96000000,30.90000000,3.36000000,208.63000000
19740627,t,20.67362257,,11.0548048,,803.66000000,42.40000000,15.88000000,220.65000000,803.66000000,42.40000000,15.88000000,220.65000000,803.66000000,42.40000000,15.88000000,220.65000000,803.66000000,42.40000000,15.88000000,220.65000000
19740628,t,20.67362257,,11.0548048,,802.41000000,32.93000000,28.63000000,226.71000000,802.41000000,32.93000000,28.63000000,226.71000000,802.41000000,32.93000000,28.63000000,226.71000000,802.41000000,32.93000000,28.63000000,226.71000000
19740701,t,20.80019577,1560.026,11.0548048,,806.24000000,12.60000000,40.60000000,222.88000000,806.24000000,12.60000000,40.60000000,222.88000000,806.24000000,12.60000000,40.60000000,222.88000000,806.24000000,12.60000000,40.60000000,222.88000000
19740702,t,20.80019577,1560.026,11.0548048,,790.68000000,21.74000000,65.31000000,235.51000000,790.68000000,21.74000000,65.31000000,235.51000000,790.68000000,21.74000000,65.31000000,235.51000000,790.68000000,21.74000000,65.31000000,235.51000000
19740703,t,20.80019577,1560.026,11.0548048,,792.87000000,16.66000000,58.51000000,225.94000000,792.87000000,16.66000000,58.51000000,225.94000000,792.87000000,16.66000000,58.51000000,225.94000000,792.87000000,16.66000000,58.51000000,225.94000000
19740705,t,20.80019577,1560.026,11.0548048,,791.77000000,10.80000000,67.74000000,226.89000000,791.77000000,10.80000000,67.74000000,226.89000000,791.77000000,10.80000000,67.74000000,226.89000000,791.77000000,10.80000000,67.74000000,226.89000000
19740708,t,20.80019577,1560.026,11.0548048,,770.57000000,34.66000000,92.85000000,234.02000000,770.57000000,34.66000000,92.85000000,234.02000000,770.57000000,34.66000000,92.85000000,234.02000000,770.57000000,34.66000000,92.85000000,234.02000000
19740709,t,20.80019577,1560.026,11.0548048,,772.29000000,44.36000000,88.24000000,231.25000000,772.29000000,44.36000000,88.24000000,231.25000000,772.29000000,44.36000000,88.24000000,231.25000000,772.29000000,44.36000000,88.24000000,231.25000000
19740710,t,20.80019577,1560.026,11.0548048,,762.12000000,52.18000000,89.80000000,234.34000000,762.12000000,52.18000000,89.80000000,234.34000000,762.12000000,52.18000000,89.80000000,234.34000000,762.12000000,52.18000000,89.80000000,234.34000000
19740711,t,20.80019577,1560.026,11.0548048,,759.62000000,35.75000000,93.56000000,233.31000000,759.62000000,35.75000000,93.56000000,233.31000000,759.62000000,35.75000000,93.56000000,233.31000000,759.62000000,35.75000000,93.56000000,233.31000000
19740712,t,20.80019577,1560.026,11.0548048,,787.23000000,16.35000000,85.19000000,211.79000000,787.23000000,16.35000000,85.19000000,211.79000000,787.23000000,16.35000000,85.19000000,211.79000000,787.23000000,16.35000000,85.19000000,211.79000000
19740715,t,20.80019577,1560.026,11.0548048,,786.61000000,15.56000000,93.24000000,199.17000000,786.61000000,15.56000000,93.24000000,199.17000000,786.61000000,15.56000000,93.24000000,199.17000000,786.61000000,15.56000000,93.24000000,199.17000000
19740716,t,20.80019577,1560.026,11.0548048,,775.97000000,45.29000000,93.09000000,204.84000000,775.97000000,45.29000000,93.09000000,204.84000000,775.97000000,45.29000000,93.09000000,204.84000000,775.97000000,45.29000000,93.09000000,204.84000000
19740717,t,20.80019577,1560.026,11.0548048,,784.97000000,43.72000000,93.08000000,193.43000000,784.97000000,43.72000000,93.08000000,193.43000000,784.97000000,43.72000000,93.08000000,193.43000000,784.97000000,43.72000000,93.08000000,193.43000000
