txtdate,intdate,recession_indicator,country,spy_open,spy_high,spy_low,spy_close,spx_open,spx_high,spx_low,spx_close,dji_open,dji_high,dji_low,dji_close,cpi,gdp,inflation,unemployment
25864,19701023,t,US,,,,,,,,,,,,,16.62328019,1088.608,5.83825534,
25865,19701024,t,US,,,,,,,,,,,,,16.62328019,1088.608,5.83825534,
25866,19701025,t,US,,,,,,,,,,,,,16.62328019,1088.608,5.83825534,
25867,19701026,t,US,,,,,,,,,,,,,16.62328019,1088.608,5.83825534,
25868,19701027,t,US,,,,,,,,,,,,,16.62328019,1088.608,5.83825534,
25869,19701028,t,US,,,,,,,,,,,,,16.62328019,1088.608,5.83825534,
25870,19701029,t,US,,,,,,,,,,,,,16.62328019,1088.608,5.83825534,
25871,19701030,t,US,,,,,,,,,,,,,16.62328019,1088.608,5.83825534,
25872,19701031,t,US,,,,,,,,,,,,,16.62328019,1088.608,5.83825534,
25873,19701101,t,US,,,,,,,,,,,,,16.70766232,,5.83825534,
25874,19701102,t,US,,,,,,,,,,,,,16.70766232,,5.83825534,
25875,19701103,t,US,,,,,,,,,,,,,16.70766232,,5.83825534,
25876,19701104,t,US,,,,,,,,,,,,,16.70766232,,5.83825534,
25877,19701105,t,US,,,,,,,,,,,,,16.70766232,,5.83825534,
25878,19701106,t,US,,,,,,,,,,,,,16.70766232,,5.83825534,
25879,19701107,t,US,,,,,,,,,,,,,16.70766232,,5.83825534,
25880,19701108,t,US,,,,,,,,,,,,,16.70766232,,5.83825534,
25881,19701109,t,US,,,,,,,,,,,,,16.70766232,,5.83825534,
25882,19701110,t,US,,,,,,,,,,,,,16.70766232,,5.83825534,
25883,19701111,t,US,,,,,,,,,,,,,16.70766232,,5.83825534,
25884,19701112,t,US,,,,,,,,,,,,,16.70766232,,5.83825534,
25885,19701113,t,US,,,,,,,,,,,,,16.70766232,,5.83825534,
25886,19701114,t,US,,,,,,,,,,,,,16.70766232,,5.83825534,
25887,19701115,t,US,,,,,,,,,,,,,16.70766232,,5.83825534,
25888,19701116,t,US,,,,,,,,,,,,,16.70766232,,5.83825534,
